的	u uni unid
𠞰	oqep
𠞱	ldap
𠞲	ahxp
𠞳	hvvp
𠞴	jmdi
𠞵	yjpp
𠞶	imcp
𠞷	bqpd
𠞸	xpd
𠞹	tphp
𠞺	gpvd
𠞻	ziwp
𠞼	jipp
𠞽	hvpp
𠞾	wzp wzpd
𠞿	kkop
𠟀	pxn
𠟁	vzpd
𠟂	hryp
𠟃	hykp
𠟄	xxxp
𠟅	rypd
𠟆	hhop
𠟇	zlvp
𠟈	fhpd
𠟉	chhp
𠟊	jdzp
𠟋	gggp
𠟌	lidp
𠟍	idpd
𠟎	ddhp
𠟏	jjjp
𠟐	jmdh
𠟑	yspd
𠟒	sdop
𠟓	svop
𠟔	oipd
𠟕	qrep
𠟖	jdvp
𠟗	lwup
𠟘	owhp
𠟙	tbpd
𠟚	rgkp
𠟛	zcpd
𠟜	grfp
𠟝	lrrp
𠟞	sssp
𠟟	yspd
𠟠	umpd
𠟡	cccp
𠟢	budp
𠟣	iinp
𠟤	ghdp
𠟥	ymap
𠟦	nnhp
𠟧	xxhp
𠟨	tjkp
𠟩	gjjp
𠟪	cghp
𠟫	yrjp
𠟬	ropd
𠟭	qaap
𠟮	xrjp
𠟯	dddp
𠟰	mqqp
𠟱	bhqp
𠟲	trtp
𠟳	dppe
𠟴	njjp
𠟵	zjpd
𠟶	ecsp
𠟷	bkqp
𠟸	sgdp
𠟹	piwy
𠟺	tlpd
𠟻	oop oopd
𠟼	tyfp
𠟽	lwap
𠟾	ope opep
𠟿	opep
𠠀	rppp
𠠁	oiip
𠠂	bjap
𠠃	jjfp
𠠄	pyvp
𠠅	xxpd
𠠆	jddp
𠠇	bfcp
𠠈	ljmp
𠠉	rwpd
𠠊	mhvf
𠠋	grop
𠠌	oppd
𠠍	xpjp
𠠎	xnp xnpd
𠠏	xlqp
𠠐	gaui
𠠑	rizp
𠠒	zupd
𠠓	ccjp
𠠔	gyop
𠠕	lvfp
𠠖	euop
𠠗	oppd
𠠘	mfup
𠠙	wmhp
𠠚	lpd
𠠛	tupd
𠠜	ccwp
𠠝	xxxp
𠠞	bjcp
𠠟	ixhp
𠠠	gyoi
𠠡	oynp
𠠢	tddp
𠠣	zipd
𠠤	wvvp
𠠥	wvvp
𠠦	fdqq
𠠧	ptrp
𠠨	qqqp
𠠩	qshp
𠠪	siip
𠠫	fvfp
𠠬	rjdp
𠠭	tpjo
𠠮	cggp
𠠯	qqqp
𠠰	tuup
𠠱	tddp
𠠲	tsl
𠠳	isl
𠠴	ssl
𠠵	ksl
𠠶	easl
𠠷	apsl
𠠸	ntsl
𠠹	wpsl
𠠺	mpsl
𠠻	xrsl
𠠼	vsl
𠠽	csl
𠠾	smb
𠠿	xssl
𠡀	gsl
𠡁	lsl
𠡂	tsl
𠡃	snug
𠡄	rsl
𠡅	lsl
𠡆	zisl
𠡇	kds kdsl
𠡈	usl
𠡉	csl
𠡊	mhsl
𠡋	mds mdsl
𠡌	zaps
𠡍	rgsl
𠡎	ofsl
𠡏	lsl
𠡐	sdfa
𠡑	knis
𠡒	tksl
𠡓	wbs wbsl
𠡔	ofps
𠡕	fhgs
𠡖	vpsl
𠡗	qsl
𠡘	sngg
𠡙	seyb
𠡚	fofs
𠡛	rmsl
𠡜	bpsl
𠡝	olsl
𠡞	upsl
𠡟	fkis
𠡠	ahsl
𠡡	grsl
𠡢	ogsl
𠡣	fobs
𠡤	bosl
𠡥	sthb
𠡧	vds vdsl
𠡨	cvsl
𠡩	xpsl
𠡪	nqs nqsl
𠡫	bksl
𠡬	jggs
𠡭	gphs
𠡮	vvsl
𠡯	fdbs
𠡰	csms
𠡱	yofs
𠡲	xpws
𠡳	bsl
𠡴	xpsl
𠡵	qnes
𠡶	hhss
𠡷	ssse
𠡸	fdbs
𠡹	ygrs
𠡺	gkts
𠡻	neis
𠡼	hosl
𠡽	zoys
𠡾	aksl
𠡿	cdu cdus
𠢀	lcsl
𠢁	hhfs
𠢂	gpss
𠢃	ofns
𠢄	hdgs
𠢅	zhsl
𠢆	wads
𠢇	nons
𠢈	pus pusl
𠢉	qfms
𠢊	whs whsl
𠢋	sdob
𠢌	aips
𠢍	zvsl
𠢎	goq goqs
𠢏	tpms
𠢐	lhxs
𠢑	fksl
𠢒	xmjs
𠢓	loms
𠢔	ndds
𠢕	glhs
𠢖	awps
𠢗	imcs
𠢘	wmsl
𠢙	rkds
𠢚	hhqs
𠢛	byws
𠢜	zjys
𠢝	oyrs
𠢞	ukis
𠢟	fsui
𠢠	emes
𠢡	rjds
𠢢	ites
𠢣	ytsh
𠢤	xhss
𠢥	tos tosl
𠢦	xsf xsfs
𠢧	ihhs
𠢨	whsl
𠢩	gggs
𠢪	fhs fhsl
𠢫	ahss
𠢬	elfs
𠢭	xhss
𠢮	dwqs
𠢯	zjh zjhs
𠢰	wfas
𠢱	eefs
𠢲	xtps
𠢳	gjjs
𠢴	xpsl
𠢵	eefs
𠢶	opes
𠢷	ejje
𠢸	cccs
𠢹	xnsl
𠢺	kdes
𠢻	zro zros
𠢼	kqas
𠢽	lqls
𠢾	nqrs
𠢿	qqqs
𠣀	bfqs
𠣁	ccws
𠣂	sxhs
𠣃	bfqs
𠣄	wvvs
𠣅	ltks
𠣆	ptrs
𠣇	ytsy
𠣈	siis
𠣉	tlws
𠣊	rzqs
𠣋	rtds
𠣌	nns
𠣍	neg
𠣎	niy
𠣏	nsi
𠣐	nxg
𠣑	nmpe
𠣒	njme
𠣓	nby
𠣔	trne
𠣕	ninw
𠣖	nziy
𠣗	ngks
𠣘	nio
𠣙	nfof
𠣚	nmor
𠣛	nke nkem
𠣜	ncc
𠣝	mznm
𠣞	nyc
𠣟	nkph
𠣠	nyic
𠣡	nho nhof
𠣢	nmn nmnv
𠣣	fyaf
𠣤	noha
𠣥	njid
𠣦	nlch
𠣧	nyny
𠣨	nlnl
𠣩	xnfi
𠣪	ggj
𠣫	pdg pdgj
𠣬	noha
𠣭	nidk
𠣮	nmgy
𠣯	nlqt
𠣰	nqor
𠣱	nyrd
𠣲	nlgm
𠣳	yoni
𠣴	neoh
𠣵	nnkc
𠣶	nvdp
𠣷	lgni
𠣸	ngdh
𠣹	nidu
𠣺	wrev
𠣻	mhmv
𠣼	mfnv
𠣽	naq naqh
𠣾	nweh
𠣿	nyor
𠤀	xqhe
𠤁	ddmv
𠤂	nzm nzmb
𠤃	mhfv
𠤄	nrg nrgg
𠤅	nlga
𠤆	neko
𠤇	nwg nwgh
𠤈	njjg
𠤉	iiff
𠤊	nez nezb
𠤋	nccc
𠤌	neso
𠤍	nldu
𠤎	vbb vb
𠤏	vns
𠤐	vfpe
𠤑	vos
𠤒	jyfv
𠤓	xwvb
𠤔	vzg
𠤕	vos
𠤖	avu avus
𠤗	vovb
𠤘	vkos
𠤙	kuvb
𠤚	vorj
𠤛	vcy
𠤜	vovb
𠤝	smv smvb
𠤞	vowg
𠤟	vowa
𠤠	svb
𠤡	vef vefl
𠤢	avtf
𠤣	tmbv
𠤤	vnqh
𠤥	avwp
𠤦	avep
𠤧	vuot
𠤨	vfme
𠤩	ykvv
𠤪	vfmo
𠤫	pmfv
𠤬	aae
𠤭	njr
𠤮	njae
𠤯	ncb
𠤰	nhks
𠤱	nhf
𠤲	nfs nfsc
𠤳	ncg
𠤴	ndh ndhb
𠤵	nls
𠤶	niua
𠤷	neey
𠤸	naf
𠤹	njnw
𠤺	ntti
𠤻	npm
𠤼	njg njgh
𠤽	nrjj
𠤾	ndj ndja
𠤿	njad
𠥀	ncd ncdk
𠥁	nuh nuhb
𠥂	nexi
𠥃	nxfr
𠥄	znpe
𠥅	nddg
𠥆	nvnw
𠥇	nsy
𠥈	nge ngeq
𠥉	nutn
𠥊	nzhb
𠥋	nkub
𠥌	nwr nwrp
𠥍	ntz ntzk
𠥎	ngw
𠥏	nfdq
𠥐	njmd
𠥑	njge
𠥒	nypj
𠥓	nk
𠥔	njui
𠥕	ngka
𠥖	nlwr
𠥗	nqjr
𠥘	nkko
𠥙	nhyk
𠥚	ngwr
𠥛	nhvd
𠥜	none
𠥝	nddr
𠥞	nyq nyqn
𠥟	ncz nczj
𠥠	nnpy
𠥡	ngdd
𠥢	nelv
𠥣	noel
𠥤	nlny
𠥥	nuui
𠥦	nzqh
𠥧	ncdk
𠥨	nccc
𠥩	nzhb
𠥪	nypj
𠥫	noel
𠥬	nlup
𠥭	npd
𠥮	nmju
𠥯	nbs
𠥰	nbm
𠥱	nsm nsmk
𠥲	ndpd
𠥳	nmg
𠥴	nkja
𠥵	nsy
𠥶	nzh
𠥷	nddi
𠥸	qyn qynz
𠥹	nddx
𠥺	nddd
𠥻	ln
𠥼	nns
𠥽	efi
𠥾	xins
𠥿	zns
𠦀	yfns
𠦁	cns
𠦂	wwn wwns kns
𠦃	nlc
𠦄	nlc
𠦅	llq
𠦆	ons
𠦇	jns
𠦈	qns
𠦉	ntj
𠦊	bns
𠦋	yfl yflq
𠦌	llc
𠦍	jjns
𠦎	hhns
𠦏	jjns
𠦐	nooj
𠦑	iloc
𠦒	laf
𠦓	fcns
𠦔	nlfi
𠦕	uons
𠦖	kxns
𠦗	nki
𠦘	uoin
𠦙	nbyx
𠦚	lssf
𠦛	tlc
𠦜	lx
𠦝	nons
𠦞	avlq
𠦟	nqmk
𠦠	nufi
𠦡	nlns
𠦢	nppp
𠦣	davn
𠦤	oqns
𠦥	wtkn
𠦦	moin
𠦧	ggn ggns
𠦨	xspn
𠦩	nehp
𠦪	nlmn
𠦫	dqns
𠦬	tjjn
𠦭	ktkn
𠦮	facn
𠦯	huig
𠦰	nqeq
𠦱	nqfb
𠦲	yonl
𠦳	ixel
𠦴	ulaa
𠦵	nddn
𠦶	lpns
𠦷	yonl
𠦸	sww swwn
𠦹	njuc
𠦺	puhu
𠦻	hugh
𠦼	iuns
𠦽	nnqh
𠦾	nsss
𠦿	xxyl
𠧀	mnns
𠧁	nsqt
𠧂	nlgh
𠧃	nutn
𠧄	yone
𠧅	fdun
𠧆	hlhn
𠧇	yonl
𠧈	cddn
𠧉	cddn
𠧊	tkne
𠧋	nolp
𠧌	tlff
𠧍	tltl
𠧎	ydt ydtn
𠧏	yddn
𠧐	usun suun
𠧑	pchn
𠧒	yai
𠧓	ypid
𠧔	yfhi
𠧕	yfcs
𠧖	yob
𠧗	yffy
𠧘	zry
𠧙	pdyb
𠧛	yfci
𠧜	ymbn
𠧝	yaal
𠧞	pwwy
𠧟	yrba
𠧠	yrna
𠧡	yqae
𠧢	yovb
𠧣	yxt yxtj
𠧤	yrba
𠧥	mym mymy
𠧦	hiy hiyb
𠧧	yrh yrhi
𠧨	syb
𠧩	ekyb
𠧪	yrjj
𠧫	yoh yohi
𠧬	btdy
𠧭	meyb
𠧮	cvyb
𠧯	ymjh
𠧰	gfdk
𠧱	yrha
𠧲	ymgy
𠧳	ydks
𠧴	yrja
𠧵	yrjm
𠧶	ywhk
𠧷	yrja
𠧸	yrht
𠧹	ydks
𠧺	yruh
𠧻	yok yoks
𠧼	ymry
𠧽	yolc
𠧾	yrhh
𠧿	ymjh
𠨀	yqmo
𠨁	ymjt
𠨂	ynee
𠨃	qsly
𠨄	yrbd
𠨅	yora
𠨆	ymhj
𠨇	ymre
𠨈	ymhj
𠨉	jjjy
𠨊	qfmy
𠨋	yrjj
𠨌	ymhf
𠨍	izj
𠨎	zzj
𠨏	rzj
𠨐	vzj
𠨑	fzj
𠨒	vvzj
𠨓	bgbg
𠨔	qbj
𠨕	zzzj
𠨖	zzj
𠨗	xfzj
𠨘	htz htzj
𠨙	iagz
𠨚	bnrz
𠨛	fhzj
𠨜	xxzp
𠨝	bfhz
𠨞	iiz iizj
𠨟	tpmz
𠨠	izxi
𠨡	agbm
𠨢	xxzh
𠨣	bfcy
𠨤	vvvz
𠨥	bmq bmqb
𠨦	wogz
𠨧	ptrz
𠨨	pmfz
𠨩	pmfz
𠨪	xxzp
𠨫	siib
𠨬	xvb
𠨭	xus
𠨮	xamd
𠨯	xhi
𠨰	mae
𠨱	xey
𠨲	sxc
𠨳	xzj
𠨴	xjpd
𠨵	xaf
𠨶	xhf
𠨷	xfga
𠨸	xti
𠨹	xxr xxry
𠨺	xens
𠨻	xrs
𠨼	xgw
𠨽	xvvb
𠨾	xus
𠨿	xbs
𠩀	xmsc
𠩁	xhwb
𠩂	xgks
𠩄	xpr xpru
𠩅	xrw
𠩆	xsvb
𠩇	xke xkes
𠩈	xinw
𠩉	xsmk
𠩊	xvo xvor
𠩋	xhsc
𠩌	xtrh
𠩍	xggr
𠩎	xwfi
𠩏	xyfy
𠩐	fc
𠩑	xbtv
𠩒	xory
𠩓	xpww
𠩔	xcvb
𠩕	xpm
𠩖	hxbv
𠩗	xkeq
𠩘	xmjj
𠩙	xtup
𠩚	xyy
𠩛	xrjj
𠩜	xjjg
𠩝	xgl xglf
𠩞	xmhi
𠩟	xgjj
𠩠	xob
𠩡	xjub
𠩢	xtgu
𠩣	xjdp
𠩤	xoyx
𠩥	xdnw
𠩦	xhe xheq
𠩧	xjas
𠩨	xbrh
𠩩	xoam
𠩪	xemp
𠩫	xppe
𠩬	xejj
𠩭	xghi
𠩮	xnoi
𠩯	xkts
𠩰	xddn
𠩱	xeeq
𠩲	xutn
𠩳	xzfv
𠩴	xuh xuhi
𠩵	xeem
𠩶	xqtn
𠩷	xih xihb
𠩸	xqs
𠩹	xwcr
𠩺	ahxc
𠩻	xuf xufr
𠩼	xaeq
𠩽	xvpf
𠩾	xxch
𠩿	xqln
𠪀	xodn
𠪁	xxe xxeq
𠪂	xmic
𠪃	xcqm
𠪄	xlqt
𠪅	xcmr
𠪆	xggk
𠪇	xpgr
𠪈	xjds
𠪉	xgu xgug
𠪊	xhbc
𠪋	xodg
𠪌	xzcc
𠪍	xwr xwrz
𠪎	xmha
𠪏	xaig
𠪐	xbqt
𠪑	xghi
𠪒	xdz xdzj
𠪓	xbri
𠪔	xycr
𠪕	fcxc
𠪖	xeeg
𠪗	xse xseq
𠪘	xbvr
𠪙	xqlh
𠪚	xaq xaqh
𠪛	xlcc
𠪜	xlzj
𠪝	xhym
𠪞	xjjo
𠪟	xia xiaf
𠪠	xeev
𠪡	xcqo
𠪢	xzeq
𠪣	xlvh
𠪤	xlhg
𠪥	xuyk
𠪦	xjda
𠪧	xmqe
𠪨	xdhg
𠪩	xph
𠪪	xtjg
𠪫	xnqh
𠪬	xaqh
𠪭	xsmh
𠪮	xcdn
𠪯	xygg
𠪰	xukh
𠪱	xxxs
𠪲	xlds
𠪳	tvpa
𠪴	xeet
𠪵	xlld
𠪶	xgv xgvz
𠪷	xowy
𠪸	xlle
𠪹	xldr
𠪺	xxxp
𠪻	xmn xmnk
𠪼	xggi
𠪽	xik xiko
𠪾	xxxh
𠪿	xlqc
𠫀	xcdg
𠫁	xnno
𠫂	xzqa
𠫃	xgge
𠫄	xghk
𠫅	lkdh
𠫆	xohd
𠫇	xqnh
𠫈	xicv
𠫉	xvqw
𠫊	xaqh
𠫋	xlwx
𠫌	xxxr
𠫍	xooo
𠫎	xqqz
𠫏	xxxn
𠫐	xukk
𠫑	xnnn
𠫒	xukk
𠫓	fks
𠫔	fks
𠫕	aks
𠫖	kae
𠫗	oks
𠫘	kns
𠫙	kfw
𠫚	kus
𠫛	kfks
𠫜	kasl
𠫝	koc
𠫞	kkoj
𠫟	rfk rfks
𠫠	kooj
𠫡	kem
𠫢	aks
𠫣	kmjr
𠫤	bnks
𠫥	hks
𠫦	kwr kwrj
𠫧	kfmj
𠫨	kkoi
𠫩	kdyx
𠫪	kdmd
𠫫	kkka
𠫬	kkkk
𠫭	kmyx
𠫮	kooj
𠫯	kkkj
𠫰	kkkt
𠫱	kkko
𠫲	bnkn
𠫳	gkcj
𠫴	gky gkyt
𠫵	kmhx
𠫶	kdl
𠫷	bnki
𠫸	qq
𠫹	kkqn
𠫺	kddn
𠫻	kmgm
𠫼	qq
𠫽	kmtt
𠫾	gkll
𠫿	kmfb
𠬀	kkqk
𠬁	kkkg
𠬂	kkwv
𠬃	gkn gknf
𠬄	kkkt
𠬅	kkkt
𠬆	iis
𠬇	gkgy
𠬈	gkun
𠬉	gkyb
𠬊	kok koke
𠬋	kkol
𠬌	hlk hlkh
𠬍	khhp
𠬎	kkkb
𠬏	kqmf
𠬐	qvy
𠬑	gkgk
𠬒	gkf gkfg
𠬓	kkkp
𠬔	kkka
𠬕	gktn
𠬖	gktn
𠬗	nkgp
𠬘	qrfi
𠬙	odmm
𠬚	kry
𠬛	pry
𠬜	raae
𠬞	iry
𠬟	rks
𠬠	hry
𠬡	xfry
𠬢	sry
𠬣	far fary
𠬥	rry
𠬦	tmr tmry
𠬧	ary
𠬨	zry
𠬩	cry
𠬪	yry
𠬫	aan aanr
𠬬	hcj
𠬭	roy
𠬮	cry
𠬯	rigs
𠬰	hpry
𠬱	dsr dsry
𠬲	mhry
𠬳	iir iiry
𠬴	rhts
𠬵	pry
𠬷	wtry
𠬸	mvr mvry
𠬹	ris
𠬺	rrl rrlc
𠬻	airy
𠬼	ulr ulry
𠬽	ral
𠬾	riiy
𠬿	tfir
𠭀	rrrd
𠭁	ory
𠭂	rqhi
𠭃	qry
𠭄	edr edry
𠭅	nrfs
𠭆	sfdr
𠭇	zqry
𠭈	afdr
𠭉	ytry
𠭊	ufbr
𠭋	rrrz
𠭌	rrrp
𠭍	try
𠭎	rrd rrdd
𠭏	vndr
𠭐	grt grts
𠭑	rmz rmzk
𠭒	oory
𠭓	scr scry
𠭔	tkxr
𠭕	ejjr
𠭖	ycr ycry
𠭗	zqry
𠭘	grfl
𠭙	bgx bgxr
𠭚	rrrz
𠭛	trer
𠭜	bgxr
𠭝	caxr
𠭞	rrrz
𠭟	vwi vwir
𠭠	xmhr
𠭡	tjjr
𠭢	vlrq
𠭣	bjry
𠭤	dtdr
𠭥	smfr
𠭦	hpgr
𠭧	yxk yxkr
𠭨	rrrh
𠭩	fkor
𠭪	qvry
𠭫	rhfs
𠭬	rxu
𠭭	pfar
𠭮	ygrq
𠭯	zfry
𠭰	ahxr
𠭱	vhgr
𠭲	ofnr
𠭳	hgsm
𠭴	rrrm
𠭵	vnnr
𠭶	hxa hxar
𠭷	gchr
𠭸	sory
𠭹	yorr
𠭺	rrv rrvt
𠭻	hsrt
𠭼	avwr
𠭽	rkhr
𠭾	rxrr
𠭿	fner
𠮀	rrrs
𠮁	beir
𠮂	lhmr
𠮃	cdnr
𠮄	rrrp
𠮅	iulr
𠮆	rro rroh
𠮇	rhrr
𠮈	xrh xrhr
𠮉	zhqr
𠮊	ofkr
𠮋	tmsr
𠮌	rrrp
𠮍	vmr vmrr
𠮎	ujjr
𠮏	zhbr
𠮐	rrrp
𠮑	tnpr
𠮒	xnrr
𠮓	siir
𠮔	rfvx
𠮕	wccr
𠮖	siia
𠮗	yiir
𠮘	kvmc
𠮙	dai
𠮚	rid
𠮜	dae
𠮝	dgs
𠮞	adk
𠮟	drq
𠮠	dpd
𠮡	dme
𠮢	rdk
𠮣	bdk
𠮤	dnm
𠮥	wt
𠮦	hdk
𠮧	dpd
𠮨	dvn
𠮩	drl
𠮪	daae
𠮫	kidk
𠮬	dki dkid
𠮭	dni dnid
𠮮	tndk
𠮯	vdk
𠮰	doc
𠮱	dmae
𠮲	dmae
𠮳	yfdk
𠮴	fyd fydk
𠮵	dyfi
𠮶	djgs
𠮷	gdk
𠮸	agg
𠮹	dntp
𠮺	dyb
𠮻	dxi dxid
𠮼	dkc
𠮽	dlc
𠮾	dfp dfpe
𠮿	dvs
𠯀	doc
𠯁	dsi
𠯂	dhi
𠯃	dmgs
𠯄	dpid
𠯅	dpi
𠯆	dbn
𠯇	dvj
𠯈	dmd
𠯉	pdfi
𠯊	dfns
𠯋	dhfa
𠯌	bndk
𠯍	dmme
𠯎	daus
𠯏	dvq
𠯐	dor
𠯑	bdk
𠯒	jvd jvdk
𠯓	tdk
𠯔	dnp dnpe
𠯕	dnpe
𠯖	dmh
𠯗	dfr dfrj
𠯘	dxr dxry
𠯙	dyid
𠯚	dfoc
𠯛	ncg
𠯜	dnks
𠯝	dfi dfiy
𠯞	dfbj
𠯟	dej
𠯠	disi
𠯡	dyfa
𠯢	dls
𠯣	dri
𠯤	dqj
𠯥	dkn dkns
𠯦	drpd
𠯧	dmgf
𠯨	hpdk
𠯩	duae
𠯪	dgd
𠯫	dpg
𠯬	dsi
𠯭	dor
𠯮	dor
𠯯	dap
𠯰	djns
𠯱	djju
𠯲	dvy
𠯳	ned nedk
𠯴	dzy dzyb
𠯵	dahb
𠯶	vadk
𠯷	dvk dvks
𠯸	dxa dxad
𠯹	djvn
𠯺	wvd wvdk
𠯻	diae
𠯼	djad
𠯽	dsi
𠯾	djkj
𠯿	dal
𠰀	dbgs
𠰁	dfya
𠰂	dmp dmpe
𠰃	dtgs
𠰄	div
𠰅	dus
𠰆	dbai
𠰇	dwfa
𠰈	dbks
𠰉	dpdk
𠰊	dts
𠰋	dtfi
𠰌	dfe dfem
𠰍	dinw
𠰎	dcry
𠰏	dtri
𠰐	dndk
𠰑	dxeg
𠰒	djy djyx
𠰓	dxh
𠰔	kdk
𠰕	smdk
𠰖	dlr dlrl
𠰗	dtha
𠰘	dam
𠰙	dep depd
𠰚	deyx
𠰛	vcg
𠰜	dthn
𠰝	dys
𠰞	eddk
𠰟	bfa bfad
𠰠	dnnk
𠰡	dwvb
𠰢	dhus
𠰣	htdk
𠰤	dlgs
𠰥	hndk
𠰦	ikdk
𠰧	dnid
𠰨	dxtv
𠰩	dty
𠰪	dfsi
𠰫	aidk
𠰬	ddy
𠰭	dbm
𠰮	dls
𠰯	dnei
𠰰	jpdk
𠰱	dlz dlzj
𠰲	dei deid
𠰳	dfmj
𠰵	dmhb
𠰶	fbtd
𠰷	dycs
𠰸	drnk
𠰹	deey
𠰺	djpi
𠰻	dlyb
𠰼	dfrj
𠰽	dwoj
𠰾	dcoj
𠰿	daks
𠱀	drp
𠱁	daks
𠱂	dvfi
𠱃	dmfi
𠱄	dam
𠱅	drg drgt
𠱆	dvhi
𠱇	dex
𠱈	dos
𠱉	djes
𠱊	djgs
𠱋	ddy
𠱌	dpme
𠱍	dmz dmzj
𠱎	dnef
𠱏	dfkm
𠱐	ddam
𠱑	dmdk
𠱒	tadk
𠱓	dxxz
𠱔	dwk dwkc
𠱕	dhkp
𠱖	dtrb
𠱗	gmme
𠱘	dhsc
𠱙	dyfy
𠱚	dyfy
𠱛	pmhd
𠱜	dngh
𠱝	dkv dkvy
𠱞	dkem
𠱟	dvem
𠱠	dddk
𠱡	dic
𠱢	dkeg
𠱣	dbgt
𠱤	dal
𠱥	dnlc
𠱦	jjjd
𠱧	jtdk
𠱨	dams
𠱩	vdk
𠱪	dieh
𠱫	itdk
𠱬	madk
𠱭	ldk
𠱮	dkvy
𠱯	ddug
𠱰	oadk
𠱱	dnef
𠱲	dbb dbbj
𠱳	dbbg
𠱴	djnw
𠱵	rimm
𠱶	dwfn
𠱷	dldk
𠱸	dqc
𠱹	dutr
𠱺	dakf
𠱻	dfmg
𠱼	dqfa
𠱽	dngg
𠱾	dgkc
𠱿	dsss
𠲀	fdbd
𠲁	ddpg
𠲂	ddmd
𠲃	dbf dbfz
𠲄	dlt dlte
𠲅	dxmb
𠲆	xfdk
𠲇	djc djcb
𠲈	djks
𠲉	djtg
𠲊	dghi
𠲋	demk
𠲌	dnid
𠲍	dtgk
𠲏	djtg
𠲐	dxbs
𠲑	hud huda
𠲒	jhdk
𠲓	dhvk
𠲔	dzch
𠲕	dxgt
𠲗	digs
𠲘	gdk
𠲙	dcki
𠲚	dhhi
𠲛	drd drdk
𠲜	dybv
𠲝	dvkc
𠲞	duug
𠲟	djq djqn
𠲠	dihp
𠲡	dbh dbhi
𠲢	ddr ddrj
𠲣	dtam
𠲤	dkb dkbn
𠲥	dfae
𠲦	dpn dpns
𠲧	dpug
𠲨	dkey
𠲩	acg
𠲪	dmzj
𠲫	dasm
𠲬	dqc
𠲭	dieq
𠲮	dfou
𠲯	zkdk
𠲰	dbtd
𠲱	asg
𠲲	dves
𠲳	dzs
𠲴	durs
𠲵	dgks
𠲶	dwpe
𠲷	dqa dqae
𠲸	dqsl
𠲹	dvhx
𠲺	dvc dvcj
𠲻	ktdk
𠲼	dpj
𠲽	djtf
𠲾	dnqm
𠲿	dxs
𠳀	dkty
𠳁	dre drem
𠳂	dbd dbdk
𠳃	duk duks
𠳄	ujjd
𠳅	tpdk
𠳆	updk
𠳇	dtdk
𠳈	dbnd
𠳉	dnof
𠳊	zgks
𠳋	cki
𠳌	gkzk
𠳍	dlfi
𠳎	djvj
𠳏	dusi
𠳑	dubz
𠳒	dfmf
𠳓	dxvv
𠳔	djnn
𠳕	duyt
𠳖	ducj
𠳗	dgwo
𠳘	djgh
𠳙	kdj kdjp
𠳚	dvhp
𠳛	khdk
𠳜	dawb
𠳝	dcdk
𠳞	dgkz
𠳟	dnfp
𠳠	dppe
𠳡	dddg
𠳢	dvht
𠳣	dyns
𠳤	dssi
𠳥	dvju
𠳦	dyr dyry
𠳧	dtl
𠳨	dek dekm
𠳩	djrp
𠳪	dned
𠳫	cty
𠳬	ccg
𠳭	dcp dcpe
𠳮	ndmd
𠳯	dfaa
𠳰	dslx
𠳱	dyrb
𠳲	dofn
𠳳	dde ddem
𠳴	ddgb
𠳵	ddv ddvw
𠳶	dxoj
𠳷	djgk
𠳸	dxie
𠳹	dxem
𠳺	dvd dvdk
𠳻	dvlx
𠳼	dwe dwem
𠳽	dead
𠳾	dwhe
𠳿	dcvm
𠴀	dbbf
𠴁	dvad
𠴂	dbrs
𠴃	dkkm
𠴄	diae
𠴅	mghg
𠴆	dphx
𠴇	dthb
𠴈	dwnk
𠴉	dtmp
𠴊	ddtd
𠴋	duks
𠴌	dbch
𠴍	dpih
𠴎	dktm
𠴏	dlfw
𠴐	dhag
𠴑	dlbn
𠴒	djjk
𠴓	djbi
𠴔	ddnw
𠴕	dbyt
𠴖	djil
𠴗	deg degt
𠴘	dekc
𠴙	dumb
𠴚	djw djwa
𠴛	desl
𠴜	duci
𠴝	dknw
𠴞	djhu
𠴟	dgy
𠴠	djmj
𠴡	dup dupe
𠴢	dgcs
𠴣	dhgj
𠴤	dghx
𠴥	dkw dkwp
𠴦	ginw
𠴧	dkkm
𠴨	dwki
𠴩	dzhb
𠴪	dcrr
𠴫	dyfr
𠴬	dbe dbem
𠴭	done
𠴮	dhph
𠴯	dljf
𠴰	dhyd
𠴱	drc drcg
𠴲	dkor
𠴳	dbnv
𠴴	dfru
𠴵	dbwr
𠴶	dnbp
𠴷	dbnz
𠴸	krdk
𠴹	dkil
𠴺	dtrp
𠴻	dtee
𠴼	dypd
𠴽	dzl dzll
𠴾	dagg
𠴿	dtrq
𠵀	dddn
𠵁	mgdd
𠵂	eed eedk
𠵃	dmgy
𠵄	dyfn
𠵅	dljv
𠵇	dmzk
𠵈	dbaw
𠵉	dezo
𠵊	gcg
𠵋	duug
𠵌	dwfq
𠵍	etdk
𠵎	dbcg
𠵏	dnjd
𠵐	dhgk
𠵑	dcad
𠵒	dtn dtns
𠵓	trig
𠵔	dhc dhcy
𠵕	dghg
𠵖	dppg
𠵗	dfam
𠵘	dam
𠵙	dvjk
𠵚	dvxe
𠵛	ddda
𠵜	dmhf
𠵝	dlly
𠵞	qdne
𠵟	dqem
𠵠	dfcd
𠵡	dqqj
𠵢	dmch
𠵣	dyae
𠵤	nqkd
𠵥	wwdk
𠵦	wden
𠵧	fdk
𠵨	dofk
𠵩	dqem
𠵪	ddub
𠵫	dobz
𠵬	dddr
𠵭	ddav
𠵮	dqqn
𠵯	dapd
𠵰	demg
𠵱	djti
𠵲	xfdz
𠵳	xfdr
𠵴	djdz
𠵵	jdhu
𠵶	dbmr
